yr,subject,winner
1933,Literature,Ivan Alekseyevich Bunin
1933,Medicine,Thomas Hunt Morgan
1933,Peace,Sir Norman Angell (Ralph Lane)
1933,Physics,Erwin Schrödinger
1933,Physics,Paul Adrien Maurice Dirac
1934,Chemistry,Harold Clayton Urey
1934,Literature,Luigi Pirandello
1934,Medicine,George Hoyt Whipple
1934,Medicine,George Richards Minot
1934,Medicine,William Parry Murphy
1934,Medicine,William Parry Murphy
1934,Peace,Arthur Henderson
1935,Chemistry,Frédéric Joliot
1935,Chemistry,Irène Joliot-Curie
1935,Medicine,Hans Spemann
1935,Peace,Carl von Ossietzky
1935,Physics,James Chadwick
1936,Chemistry,Petrus (Peter) Josephus Wilhelmus Debye
1936,Chemistry,Petrus (Peter) Josephus Wilhelmus Debye
1936,Literature,Eugene Gladstone O'Neill
1936,Medicine,Sir Henry Hallett Dale
1936,Medicine,Otto Loewi
1936,Peace,Carlos Saavedra Lamas
1936,Physics,Victor Franz Hess
1936,Physics,Carl David Anderson
1937,Chemistry,Walter Norman Haworth
1937,Chemistry,Paul Karrer
1937,Literature,Roger Martin du Gard
1937,Medicine,Albert von Szent-Györgyi Nagyrápolt
1937,Peace,"Cecil of Chelwood, Viscount (Lord Edgar Algernon Robert Gascoyne Cecil)"
1937,Physics,Clinton Joseph Davisson
1937,Physics,George Paget Thomson
1938,Chemistry,Richard Kuhn
1938,Chemistry,Richard Kuhn
1938,Literature,Pearl Buck
1938,Medicine,Corneille Jean François Heymans
1938,Peace,Office international Nansen pour les Réfugiés (Nansen International Office for Refugees)
1938,Physics,Enrico Fermi
1939,Chemistry,Adolf Friedrich Johann Butenandt
1939,Chemistry,Adolf Friedrich Johann Butenandt
1939,Chemistry,Leopold Ruzicka
1939,Literature,Frans Eemil Sillanpää
1939,Medicine,Gerhard Domagk
1939,Physics,Ernest Orlando Lawrence
1943,Chemistry,George de Hevesy
1943,Medicine,Henrik Carl Peter Dam
1943,Medicine,Edward Adelbert Doisy
1943,Physics,Otto Stern
1944,Chemistry,Otto Hahn
1944,Literature,Johannes Vilhelm Jensen
1944,Medicine,Joseph Erlanger
1944,Medicine,Herbert Spencer Gasser
1944,Peace,Comité international de la Croix Rouge (International Committee of the Red Cross)
1944,Physics,Isidor Isaac Rabi
1945,Chemistry,Artturi Ilmari Virtanen
1945,Literature,Gabriela Mistral
1945,Medicine,Sir Alexander Fleming
1945,Medicine,Ernst Boris Chain
1945,Medicine,Sir Howard Walter Florey
1945,Peace,Cordell Hull
1945,Physics,Wolfgang Pauli
1946,Chemistry,James Batcheller Sumner
1946,Chemistry,John Howard Northrop
1946,Chemistry,Wendell Meredith Stanley
1946,Literature,Hermann Hesse
1946,Medicine,Hermann Joseph Muller
1946,Peace,Emily Greene Balch
1946,Peace,John Raleigh Mott
1946,Physics,Percy Williams Bridgman
1947,Chemistry,Sir Robert Robinson
1947,Literature,André Paul Guillaume Gide
1947,Medicine,Carl Ferdinand Cori
1947,Medicine,"Gerty Theresa Cori, née Radnitz"
1947,Medicine,Bernardo Alberto Houssay
1947,Peace,Friends Service Council (The Quakers)
1947,Peace,American Friends Service Committee (The Quakers)
1947,Physics,Sir Edward Victor Appleton
1948,Chemistry,Arne Wilhelm Kaurin Tiselius
1948,Literature,Thomas Stearns Eliot
1948,Medicine,Paul Hermann Müller
1948,Physics,Patrick Maynard Stuart Blackett
1949,Chemistry,William Francis Giauque
1949,Literature,William Faulkner
1949,Medicine,Walter Rudolf Hess
1949,Medicine,Antonio Caetano de Abreu Freire Egas Moniz
1949,Medicine,Antonio Caetano de Abreu Freire Egas Moniz
1949,Peace,Lord (John) Boyd Orr of Brechin
1949,Physics,Hideki Yukawa
1949,Physics,Hideki Yukawa
1950,Chemistry,Otto Paul Hermann Diels
1950,Chemistry,Kurt Alder
1950,Literature,Earl (Bertrand Arthur William) Russell
1950,Medicine,Edward Calvin Kendall
1950,Medicine,Tadeus Reichstein
1950,Medicine,Philip Showalter Hench
1950,Peace,Ralph Bunche
1950,Physics,Cecil Frank Powell
1951,Chemistry,Edwin Mattison McMillan
1951,Chemistry,Glenn Theodore Seaborg
1951,Literature,Pär Fabian Lagerkvist
1951,Medicine,Max Theiler
1951,Peace,Léon Jouhaux
1951,Physics,Sir John Douglas Cockcroft
1951,Physics,Ernest Thomas Sinton Walton
1952,Chemistry,Archer John Porter Martin
1952,Chemistry,Richard Laurence Millington Synge
1952,Literature,François Mauriac
1952,Medicine,Selman Abraham Waksman
1952,Peace,Albert Schweitzer
1952,Physics,Felix Bloch
1952,Physics,Edward Mills Purcell
1953,Chemistry,Hermann Staudinger
1953,Chemistry,Hermann Staudinger
1953,Literature,Sir Winston Leonard Spencer Churchill
1953,Medicine,Hans Adolf Krebs
1953,Medicine,Fritz Albert Lipmann
1953,Medicine,Fritz Albert Lipmann
1953,Peace,George Catlett Marshall
1953,Physics,Frits Zernike
1954,Chemistry,Linus Carl Pauling
1954,Literature,Ernest Miller Hemingway
1954,Medicine,John Franklin Enders
1954,Medicine,John Franklin Enders
1954,Medicine,Thomas Huckle Weller
1954,Medicine,Frederick Chapman Robbins
1954,Peace,Office of the United Nations High Commissioner for Refugees (UNHCR)
1954,Physics,Max Born
1954,Physics,Walther Bothe
1954,Physics,Walther Bothe
1955,Chemistry,Vincent du Vigneaud
1955,Literature,Halldór Kiljan Laxness
1955,Medicine,Axel Hugo Theodor Theorell
1955,Physics,Willis Eugene Lamb
1955,Physics,Polykarp Kusch
1956,Chemistry,Sir Cyril Norman Hinshelwood
1956,Chemistry,Nikolay Nikolaevich Semenov
1956,Literature,Juan Ramón Jiménez
1956,Medicine,André Frédéric Cournand
1956,Medicine,Werner Forssmann
1956,Medicine,Werner Forssmann
1956,Medicine,Dickinson W. Richards
1956,Physics,William Bradford Shockley
1956,Physics,John Bardeen
1956,Physics,Walter Houser Brattain
1957,Chemistry,Lord (Alexander R.) Todd
1957,Literature,Albert Camus
1957,Medicine,Daniel Bovet
1957,Peace,Lester Bowles Pearson
1957,Physics,Chen Ning Yang
1957,Physics,Tsung-Dao (T.D.) Lee
1958,Chemistry,Frederick Sanger
1958,Literature,Boris Leonidovich Pasternak
1958,Medicine,George Wells Beadle
1958,Medicine,Edward Lawrie Tatum
1958,Medicine,Joshua Lederberg
1958,Peace,Georges Pire
1958,Physics,Pavel Alekseyevich Cherenkov
1958,Physics,Igor Yevgenyevich Tamm
1958,Physics,Igor Yevgenyevich Tamm
1958,Physics,Il´ja Mikhailovich Frank
1958,Physics,Il´ja Mikhailovich Frank
1959,Chemistry,Jaroslav Heyrovsky
1959,Literature,Salvatore Quasimodo
1959,Medicine,Severo Ochoa
1959,Medicine,Arthur Kornberg
1959,Peace,Philip J. Noel-Baker
1959,Physics,Emilio Gino Segrè
1959,Physics,Owen Chamberlain
1960,Chemistry,Willard Frank Libby
1960,Literature,Saint-John Perse
1960,Medicine,Sir Frank Macfarlane Burnet
1960,Medicine,Peter Brian Medawar
1960,Peace,Albert John Lutuli
1960,Physics,Donald Arthur Glaser
1961,Chemistry,Melvin Calvin
1961,Literature,Ivo Andric
1961,Medicine,Georg von Békésy
1961,Peace,Dag Hjalmar Agne Carl Hammarskjöld
1961,Physics,Robert Hofstadter
1961,Physics,Rudolf Ludwig Mössbauer
1961,Physics,Rudolf Ludwig Mössbauer
1962,Chemistry,Max Ferdinand Perutz
1962,Chemistry,John Cowdery Kendrew
1962,Literature,John Steinbeck
1962,Medicine,Francis Harry Compton Crick
1962,Medicine,James Dewey Watson
1962,Medicine,Maurice Hugh Frederick Wilkins
1962,Peace,Linus Carl Pauling
1962,Physics,Lev Davidovich Landau
1963,Chemistry,Karl Ziegler
1963,Chemistry,Giulio Natta
1963,Literature,Giorgos Seferis
1963,Medicine,Sir John Carew Eccles
1963,Medicine,Alan Lloyd Hodgkin
1963,Medicine,Andrew Fielding Huxley
1963,Peace,Comité international de la Croix Rouge (International Committee of the Red Cross)
1963,Peace,Ligue des Sociétés de la Croix-Rouge (League of Red Cross Societies)
1963,Physics,Eugene Paul Wigner
1963,Physics,Maria Goeppert Mayer
1963,Physics,J. Hans D. Jensen
1964,Chemistry,Dorothy Crowfoot Hodgkin
1964,Literature,Jean-Paul Sartre
1964,Medicine,Konrad Bloch
1964,Medicine,Feodor Lynen
1964,Peace,Martin Luther King Jr.
1964,Physics,Charles Hard Townes
1964,Physics,Nicolay Gennadiyevich Basov
1964,Physics,Aleksandr Mikhailovich Prokhorov
1965,Chemistry,Robert Burns Woodward
1965,Literature,Mikhail Aleksandrovich Sholokhov
1965,Medicine,François Jacob
1965,Medicine,André Lwoff
1965,Medicine,Jacques Monod
1965,Peace,United Nations Children's Fund (UNICEF)
1965,Physics,Sin-Itiro Tomonaga
1965,Physics,Julian Schwinger
1965,Physics,Richard P. Feynman
1966,Chemistry,Robert S. Mulliken
1966,Literature,Shmuel Yosef Agnon
1966,Literature,Nelly Sachs
1966,Medicine,Peyton Rous
1966,Medicine,Charles Brenton Huggins
1966,Physics,Alfred Kastler
1967,Chemistry,Manfred Eigen
1967,Chemistry,Ronald George Wreyford Norrish
1967,Chemistry,George Porter
1967,Literature,Miguel Angel Asturias
1967,Medicine,Ragnar Granit
1967,Medicine,Haldan Keffer Hartline
1967,Medicine,George Wald
1967,Physics,Hans Albrecht Bethe
1968,Chemistry,Lars Onsager
1968,Literature,Yasunari Kawabata
1968,Medicine,Robert W. Holley
1968,Medicine,Har Gobind Khorana
1968,Medicine,Marshall W. Nirenberg
1968,Peace,René Cassin
1968,Physics,Luis Walter Alvarez
1969,Chemistry,Derek H. R. Barton
1969,Chemistry,Odd Hassel
1969,Economics,Ragnar Frisch
1969,Economics,Jan Tinbergen
1969,Literature,Samuel Beckett
1969,Medicine,Max Delbrück
1969,Medicine,Alfred D. Hershey
1969,Medicine,Salvador E. Luria
1969,Peace,International Labour Organization (I.L.O.)
1969,Physics,Murray Gell-Mann
1970,Chemistry,Luis F. Leloir
1970,Economics,Paul A. Samuelson
1970,Literature,Aleksandr Isayevich Solzhenitsyn
1970,Medicine,Sir Bernard Katz
1970,Medicine,Ulf von Euler
1970,Medicine,Julius Axelrod
1970,Peace,Norman E. Borlaug
1970,Physics,Hannes Olof Gösta Alfvén
1970,Physics,Louis Eugène Félix Néel
1971,Chemistry,Gerhard Herzberg
1971,Economics,Simon Kuznets
1971,Literature,Pablo Neruda
1971,Medicine,"Earl W. Sutherland, Jr."
1971,Peace,Willy Brandt
1971,Physics,Dennis Gabor
1972,Chemistry,Christian B. Anfinsen
1972,Chemistry,Stanford Moore
1972,Chemistry,William H. Stein
1972,Economics,John R. Hicks
1972,Economics,Kenneth J. Arrow
1972,Literature,Heinrich Böll
1972,Medicine,Gerald M. Edelman
1972,Medicine,Rodney R. Porter
1972,Physics,John Bardeen
1972,Physics,Leon Neil Cooper
1972,Physics,John Robert Schrieffer
1973,Chemistry,Ernst Otto Fischer
1973,Chemistry,Geoffrey Wilkinson
1973,Economics,Wassily Leontief
1973,Literature,Patrick White
1973,Medicine,Karl von Frisch
1973,Medicine,Konrad Lorenz
1973,Medicine,Nikolaas Tinbergen
1973,Peace,Henry A. Kissinger
1973,Peace,Le Duc Tho
1973,Physics,Leo Esaki
1973,Physics,Ivar Giaever
1973,Physics,Brian David Josephson
1974,Chemistry,Paul J. Flory
1974,Economics,Gunnar Myrdal
1974,Economics,Friedrich August von Hayek
1974,Literature,Eyvind Johnson
1974,Literature,Harry Martinson
1974,Medicine,Albert Claude
1974,Medicine,Christian de Duve
1974,Medicine,Christian de Duve
1974,Medicine,George E. Palade
1974,Peace,Seán MacBride
1974,Peace,Eisaku Sato
1974,Physics,Sir Martin Ryle
1974,Physics,Antony Hewish
1975,Chemistry,John Warcup Cornforth
1975,Chemistry,Vladimir Prelog
1975,Economics,Leonid Vitaliyevich Kantorovich
1975,Economics,Tjalling C. Koopmans
1975,Literature,Eugenio Montale
1975,Medicine,David Baltimore
1975,Medicine,Renato Dulbecco
1975,Medicine,Howard Martin Temin
1975,Peace,Andrei Dmitrievich Sakharov
1975,Physics,Aage Niels Bohr
1975,Physics,Ben Roy Mottelson
1975,Physics,Leo James Rainwater
1976,Chemistry,William N. Lipscomb
1976,Economics,Milton Friedman
1976,Literature,Saul Bellow
1976,Medicine,Baruch S. Blumberg
1976,Medicine,D. Carleton Gajdusek
1976,Peace,Betty Williams
1976,Peace,Mairead Corrigan
1976,Physics,Burton Richter
1976,Physics,Samuel Chao Chung Ting
1977,Chemistry,Ilya Prigogine
1977,Chemistry,Ilya Prigogine
1977,Economics,Bertil Ohlin
1977,Economics,James E. Meade
1977,Literature,Vicente Aleixandre
1977,Medicine,Roger Guillemin
1977,Medicine,Andrew V. Schally
1977,Medicine,Rosalyn Yalow
1977,Peace,Amnesty International
1977,Physics,Philip Warren Anderson
1977,Physics,Sir Nevill Francis Mott
1977,Physics,John Hasbrouck van Vleck
1978,Chemistry,Peter D. Mitchell
1978,Economics,Herbert A. Simon
1978,Literature,Isaac Bashevis Singer
1978,Medicine,Werner Arber
1978,Medicine,Daniel Nathans
1978,Medicine,Hamilton O. Smith
1978,Peace,Mohamed Anwar al-Sadat
1978,Peace,Menachem Begin
1978,Physics,Pyotr Leonidovich Kapitsa
1978,Physics,Arno Allan Penzias
1978,Physics,Robert Woodrow Wilson
1979,Chemistry,Herbert C. Brown
1979,Chemistry,Georg Wittig
1979,Economics,Theodore W. Schultz
1979,Economics,Sir Arthur Lewis
1979,Literature,Odysseus Elytis
1979,Medicine,Allan M. Cormack
1979,Medicine,Godfrey N. Hounsfield
1979,Peace,Mother Teresa
1979,Physics,Sheldon Lee Glashow
1979,Physics,Abdus Salam
1979,Physics,Abdus Salam
1979,Physics,Steven Weinberg
1980,Chemistry,Frederick Sanger
1980,Chemistry,Paul Berg
1980,Chemistry,Walter Gilbert
1980,Economics,Lawrence R. Klein
1980,Literature,Czeslaw Milosz
1980,Medicine,Baruj Benacerraf
1980,Medicine,Jean Dausset
1980,Medicine,George D. Snell
1980,Peace,Adolfo Pérez Esquivel
1980,Physics,James Watson Cronin
1980,Physics,Val Logsdon Fitch
1981,Chemistry,Kenichi Fukui
1981,Chemistry,Roald Hoffmann
1981,Economics,James Tobin
1981,Literature,Elias Canetti
1981,Medicine,Roger W. Sperry
1981,Medicine,David H. Hubel
1981,Medicine,Torsten N. Wiesel
1981,Peace,Office of the United Nations High Commissioner for Refugees (UNHCR)
1981,Physics,Nicolaas Bloembergen
1981,Physics,Arthur Leonard Schawlow
1981,Physics,Kai M. Siegbahn
1982,Chemistry,Aaron Klug
1982,Economics,George J. Stigler
1982,Literature,Gabriel García Márquez
1982,Medicine,Sune K. Bergström
1982,Medicine,Bengt I. Samuelsson
1982,Medicine,John R. Vane
1982,Peace,Alva Myrdal
1982,Peace,Alfonso García Robles
1982,Physics,Kenneth G. Wilson
1983,Chemistry,Henry Taube
1983,Economics,Gerard Debreu
1983,Literature,William Golding
1983,Medicine,Barbara McClintock
1983,Peace,Lech Walesa
1983,Physics,Subramanyan Chandrasekhar
1983,Physics,William Alfred Fowler
1984,Chemistry,Robert Bruce Merrifield
1984,Economics,Richard Stone
1984,Literature,Jaroslav Seifert
1984,Medicine,Niels K. Jerne
1984,Medicine,Georges J.F. Köhler
1984,Medicine,César Milstein
1984,Peace,Desmond Mpilo Tutu
1984,Physics,Carlo Rubbia
1984,Physics,Simon van der Meer
1985,Chemistry,Herbert A. Hauptman
1985,Chemistry,Jerome Karle
1985,Economics,Franco Modigliani
1985,Literature,Claude Simon
1985,Medicine,Michael S. Brown
1985,Medicine,Joseph L. Goldstein
1985,Peace,International Physicians for the Prevention of Nuclear War
1985,Physics,Klaus von Klitzing
1986,Chemistry,Dudley R. Herschbach
1986,Chemistry,Yuan T. Lee
1986,Chemistry,John C. Polanyi
1986,Economics,James M. Buchanan Jr.
1986,Literature,Wole Soyinka
1986,Medicine,Stanley Cohen
1986,Medicine,Rita Levi-Montalcini
1986,Peace,Elie Wiesel
1986,Physics,Ernst Ruska
1986,Physics,Gerd Binnig
1986,Physics,Heinrich Rohrer
1987,Chemistry,Donald J. Cram
1987,Chemistry,Jean-Marie Lehn
1987,Chemistry,Jean-Marie Lehn
1987,Chemistry,Charles J. Pedersen
1987,Economics,Robert M. Solow
1987,Literature,Joseph Brodsky
1987,Medicine,Susumu Tonegawa
1987,Peace,Oscar Arias Sánchez
1987,Physics,J. Georg Bednorz
1987,Physics,K. Alexander Müller
1988,Chemistry,Johann Deisenhofer
1988,Chemistry,Johann Deisenhofer
1988,Chemistry,Robert Huber
1988,Chemistry,Hartmut Michel
1988,Economics,Maurice Allais
1988,Literature,Naguib Mahfouz
1988,Medicine,Sir James W. Black
1988,Medicine,Gertrude B. Elion
1988,Medicine,George H. Hitchings
1988,Peace,United Nations Peacekeeping Forces
1988,Physics,Leon M. Lederman
1988,Physics,Melvin Schwartz
1988,Physics,Jack Steinberger
1989,Chemistry,Sidney Altman
1989,Chemistry,Thomas R. Cech
1989,Economics,Trygve Haavelmo
1989,Literature,Camilo José Cela
1989,Medicine,J. Michael Bishop
1989,Medicine,Harold E. Varmus
1989,Peace,The 14th Dalai Lama (Tenzin Gyatso)
1989,Physics,Norman F. Ramsey
1989,Physics,Hans G. Dehmelt
1989,Physics,Wolfgang Paul
1990,Chemistry,Elias James Corey
1990,Economics,Harry M. Markowitz
1990,Economics,Merton H. Miller
1990,Economics,William F. Sharpe
1990,Literature,Octavio Paz
1990,Medicine,Joseph E. Murray
1990,Medicine,E. Donnall Thomas
1990,Peace,Mikhail Sergeyevich Gorbachev
1990,Physics,Jerome I. Friedman
1990,Physics,Henry W. Kendall
1990,Physics,Richard E. Taylor
1991,Chemistry,Richard R. Ernst
1991,Economics,Ronald H. Coase
1991,Literature,Nadine Gordimer
1991,Medicine,Erwin Neher
1991,Medicine,Bert Sakmann
1991,Peace,Aung San Suu Kyi
1991,Physics,Pierre-Gilles de Gennes
1992,Chemistry,Rudolph A. Marcus
1992,Economics,Gary S. Becker
1992,Literature,Derek Walcott
1992,Medicine,Edmond H. Fischer
1992,Medicine,Edwin G. Krebs
1992,Peace,Rigoberta Menchú Tum
1992,Physics,Georges Charpak
1992,Physics,Georges Charpak
1993,Chemistry,Kary B. Mullis
1993,Chemistry,Michael Smith
1993,Economics,Robert W. Fogel
1993,Economics,Douglass C. North
1993,Literature,Toni Morrison
1993,Medicine,Richard J. Roberts
1993,Medicine,Phillip A. Sharp
1993,Peace,Nelson Mandela
1993,Peace,Frederik Willem de Klerk
1993,Physics,Russell A. Hulse
1993,Physics,Joseph H. Taylor Jr.
1994,Chemistry,George A. Olah
1994,Economics,John C. Harsanyi
1994,Economics,John F. Nash Jr.
1994,Economics,Reinhard Selten
1994,Literature,Kenzaburo Oe
1994,Medicine,Alfred G. Gilman
1994,Medicine,Martin Rodbell
1994,Peace,Yasser Arafat
1994,Peace,Shimon Peres
1994,Peace,Yitzhak Rabin
1994,Physics,Bertram N. Brockhouse
1994,Physics,Clifford G. Shull
1995,Chemistry,Paul J. Crutzen
1995,Chemistry,Mario J. Molina
1995,Chemistry,F. Sherwood Rowland
1995,Economics,Robert E. Lucas Jr.
1995,Literature,Seamus Heaney
1995,Medicine,Edward B. Lewis
1995,Medicine,Christiane Nüsslein-Volhard
1995,Medicine,Eric F. Wieschaus
1995,Peace,Joseph Rotblat
1995,Peace,Pugwash Conferences on Science and World Affairs
1995,Physics,Martin L. Perl
1995,Physics,Frederick Reines
1996,Chemistry,Robert F. Curl Jr.
1996,Chemistry,Sir Harold W. Kroto
1996,Chemistry,Richard E. Smalley
1996,Economics,James A. Mirrlees
1996,Economics,William Vickrey
1996,Literature,Wislawa Szymborska
1996,Medicine,Peter C. Doherty
1996,Medicine,Rolf M. Zinkernagel
1996,Peace,Carlos Filipe Ximenes Belo
1996,Peace,José Ramos-Horta
1996,Physics,David M. Lee
1996,Physics,Douglas D. Osheroff
1996,Physics,Robert C. Richardson
1997,Chemistry,Paul D. Boyer
1997,Chemistry,John E. Walker
1997,Chemistry,Jens C. Skou
1997,Economics,Robert C. Merton
1997,Economics,Myron S. Scholes
1997,Literature,Dario Fo
1997,Medicine,Stanley B. Prusiner
1997,Peace,International Campaign to Ban Landmines (ICBL)
1997,Peace,Jody Williams
1997,Physics,Steven Chu
1997,Physics,Claude Cohen-Tannoudji
1997,Physics,Claude Cohen-Tannoudji
1997,Physics,William D. Phillips
1998,Chemistry,Walter Kohn
1998,Chemistry,John A. Pople
1998,Economics,Amartya Sen
1998,Literature,José Saramago
1998,Medicine,Robert F. Furchgott
1998,Medicine,Louis J. Ignarro
1998,Medicine,Ferid Murad
1998,Peace,John Hume
1998,Peace,David Trimble
1998,Physics,Robert B. Laughlin
1998,Physics,Horst L. Störmer
1998,Physics,Daniel C. Tsui
1999,Chemistry,Ahmed H. Zewail
1999,Economics,Robert A. Mundell
1999,Literature,Günter Grass
