name,region,area,population,gdp
Monaco,Europe,2,32000,null
Mongolia,Asia-Pacific,1560000,2700000,null
Morocco,Middle East,710850,31600000,48032000000
Mozambique,Africa,812379,19500000,4875000000
Namibia,Africa,824292,2000000,4740000000
Nauru,Asia-Pacific,21,9900,null
Nepal,South Asia,147181,26300000,6838000000
New Zealand,Asia-Pacific,270534,4000000,81240000000
Nicaragua,Americas,120254,5700000,4503000000
Niger,Africa,1270000,12900000,2967000000
Nigeria,Africa,923768,130200000,50778000000
North Korea,Asia-Pacific,122762,22900000,null
Norway,Europe,323759,4600000,2.39338E+11
Oman,Middle East,309500,3000000,23670000000
Pakistan,South Asia,796095,161100000,96660000000
Palau,Asia-Pacific,508,20000,null
Panama,Americas,75517,3200000,null
Papua New Guinea,Asia-Pacific,462840,5900000,3422000000
Paraguay,South America,406752,6200000,null
Peru,South America,1280000,28000000,null
Poland,Europe,312685,38500000,2.34465E+11
Portugal,Europe,92345,10500000,1.50675E+11
Qatar,Middle East,11437,628000,null
Republic of Congo,Africa,342000,3039126,null
Romania,Europe,238391,22200000,64824000000
Russia,Europe,17000000,141500000,4.82515E+11
Rwanda,Africa,26338,8600000,1892000000
Samoa,Asia-Pacific,2831,182000,null
San Marino,Europe,61,27000,null
Sao Tome and Principe,Africa,1001,169000,62530000
Saudi Arabia,Middle East,2240000,25600000,2.67008E+11
Senegal,Africa,196722,10600000,7102000000
Serbia and Montenegro,Europe,102173,10500000,27510000000
Seychelles,Africa,455,76000,null
Sierra Leone,Africa,71740,5300000,1060000000
Singapore,Asia-Pacific,660,4400000,1.06568E+11
Slovakia,Europe,49033,5400000,34992000000
Slovenia,Europe,20273,2000000,29620000000
Solomon Islands,Asia-Pacific,27556,504000,277200000
Somalia,Africa,637657,10700000,null
South Africa,Africa,1220000,45300000,1.64439E+11
South Korea,Asia-Pacific,99313,48200000,6.73836E+11
Spain,Europe,505988,44100000,9.35361E+11
Sri Lanka,South Asia,65610,19400000,19594000000
St Kitts and Nevis,Americas,269,46000,null
St Lucia,Americas,616,152000,655120000
St Vincent and the Grenadines,Americas,389,121000,441650000
Sudan,Middle East,2500000,35000000,18550000000
Surinam,South America,163265,442000,null
Swaziland,Africa,17364,1100000,1826000000
Sweden,Europe,449964,8900000,3.18353E+11
Switzerland,Europe,41284,7100000,3.42433E+11
Syria,Middle East,185180,18600000,22134000000
Taiwan,Asia-Pacific,36188,22700000,3.02364E+11
Tajikistan,Asia-Pacific,143100,6300000,null
Tanzania,Africa,945087,38400000,null
Thailand,Asia-Pacific,513115,64100000,1.62814E+11
The Gambia,Africa,11295,1500000,null
The Maldives,South Asia,298,338000,848380000
The Netherlands,Europe,41864,16300000,5.1671E+11
The Philippines,Asia-Pacific,300000,82800000,96876000000
Togo,Africa,56785,5100000,1938000000
Tonga,Asia-Pacific,748,106000,null
Trinidad and Tobago,Americas,5128,1300000,null
Tunisia,Middle East,164150,10000000,26300000000
Turkey,Europe,779452,73300000,2.74875E+11
Turkmenistan,Asia-Pacific,488100,5000000,null
Tuvalu,Asia-Pacific,26,10000,null
Uganda,Africa,241038,27600000,7452000000
Ukraine,Europe,603700,47800000,60228000000
United Arab Emirates,Middle East,77700,3100000,null
United Kingdom,Europe,242514,59600000,2.02282E+12
United States of America,North America,9800000,295000000,1.2213E+13
Uruguay,South America,176215,3500000,null
Uzbekistan,Asia-Pacific,447400,26900000,null
Vanuatu,Asia-Pacific,12190,222000,297480000
Vatican,Europe,0,null,null
Venezuela,South America,881050,26600000,null
Vietnam,Asia-Pacific,329247,83600000,45980000000
Yemen,Middle East,536869,21500000,12255000000
Zambia,Africa,752614,11000000,4950000000
Zimbabwe,Africa,390759,12900000,6192000000
